datetime,Year,Month,Day,Hour,Minute,temp_air,temp_dew,dhi,dni,ghi,albedo,pressure,wind_direction,wind_speed
2023-01-01 00:00:00,2023,1,1,0,0,8.200000000000001,8.200000000000001,0,0,0,0.13,1003,239,1.6
2023-01-01 01:00:00,2023,1,1,1,0,7.9,7.9,0,0,0,0.13,1003,254,1.5
2023-01-01 02:00:00,2023,1,1,2,0,7.9,7.9,0,0,0,0.13,1002,257,1.8
2023-01-01 03:00:00,2023,1,1,3,0,7.4,7.4,0,0,0,0.13,1002,258,1.4
2023-01-01 04:00:00,2023,1,1,4,0,7.1000000000000005,7.1000000000000005,0,0,0,0.13,1002,270,1.7000000000000002
2023-01-01 05:00:00,2023,1,1,5,0,6.800000000000001,6.800000000000001,0,0,0,0.13,1002,275,1.9
2023-01-01 06:00:00,2023,1,1,6,0,6.2,6.2,0,0,0,0.13,1003,282,1.8
2023-01-01 07:00:00,2023,1,1,7,0,5.6000000000000005,5.6000000000000005,0,0,0,0.13,1003,289,1.7000000000000002
2023-01-01 08:00:00,2023,1,1,8,0,5.300000000000001,5.300000000000001,0,0,0,0.13,1004,293,1.9
2023-01-01 09:00:00,2023,1,1,9,0,5.4,5.4,0,0,0,0.13,1005,296,2.1
2023-01-01 10:00:00,2023,1,1,10,0,5.1000000000000005,5.1000000000000005,0,0,0,0.13,1005,299,2.0
2023-01-01 11:00:00,2023,1,1,11,0,4.9,4.9,0,0,0,0.13,1006,300,1.9
2023-01-01 12:00:00,2023,1,1,12,0,4.5,4.5,0,0,0,0.13,1007,301,1.9
2023-01-01 13:00:00,2023,1,1,13,0,5.2,4.7,37,6,37,0.13,1008,304,2.0
2023-01-01 14:00:00,2023,1,1,14,0,7.0,5.7,97,3,98,0.13,1009,306,2.0
2023-01-01 15:00:00,2023,1,1,15,0,9.2,6.1000000000000005,55,833,350,0.13,1009,308,2.1
2023-01-01 16:00:00,2023,1,1,16,0,11.1,5.800000000000001,60,882,440,0.13,1009,308,2.3000000000000003
2023-01-01 17:00:00,2023,1,1,17,0,12.3,5.7,62,899,477,0.13,1008,299,1.9
2023-01-01 18:00:00,2023,1,1,18,0,13.1,5.9,62,888,457,0.13,1007,281,1.4
2023-01-01 19:00:00,2023,1,1,19,0,13.0,6.9,178,225,263,0.13,1007,259,1.1
2023-01-01 20:00:00,2023,1,1,20,0,11.8,8.700000000000001,48,761,256,0.13,1007,243,0.7000000000000001
2023-01-01 21:00:00,2023,1,1,21,0,10.0,5.800000000000001,32,547,105,0.13,1008,230,1.2000000000000002
2023-01-01 22:00:00,2023,1,1,22,0,8.5,5.4,0,0,0,0.13,1008,218,1.4
2023-01-01 23:00:00,2023,1,1,23,0,6.9,5.5,0,0,0,0.13,1009,215,1.4
2023-01-02 00:00:00,2023,1,2,0,0,5.4,5.4,0,0,0,0.13,1009,210,1.4
2023-01-02 01:00:00,2023,1,2,1,0,4.800000000000001,4.800000000000001,0,0,0,0.13,1009,212,1.4
2023-01-02 02:00:00,2023,1,2,2,0,4.800000000000001,4.800000000000001,0,0,0,0.13,1009,228,1.4
2023-01-02 03:00:00,2023,1,2,3,0,4.800000000000001,4.800000000000001,0,0,0,0.13,1010,253,1.3
2023-01-02 04:00:00,2023,1,2,4,0,5.0,5.0,0,0,0,0.13,1010,275,1.3
2023-01-02 05:00:00,2023,1,2,5,0,5.0,5.0,0,0,0,0.13,1010,292,1.2000000000000002
2023-01-02 06:00:00,2023,1,2,6,0,4.5,4.5,0,0,0,0.13,1011,307,1.2000000000000002
2023-01-02 07:00:00,2023,1,2,7,0,3.8,3.8,0,0,0,0.13,1011,318,1.2000000000000002
2023-01-02 08:00:00,2023,1,2,8,0,3.5,3.5,0,0,0,0.13,1011,325,1.2000000000000002
2023-01-02 09:00:00,2023,1,2,9,0,3.8,3.8,0,0,0,0.13,1012,329,1.1
2023-01-02 10:00:00,2023,1,2,10,0,3.5,3.5,0,0,0,0.13,1012,326,1.2000000000000002
