Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4690973,-,-,-,39.48,-76.31,0,68,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2023,1,1,0,0,8.200000000000001,1.25,0.074,0.61,0,0,0,0,6,8.200000000000001,0,0,0,0,0.277,100,114.04,0.9500000000000001,0.13,1003,3.2,239,1.6
2023,1,1,1,0,7.9,1.31,0.065,0.61,0,0,0,0,6,7.9,0,0,0,0,0.28,100,125.53,0.9400000000000001,0.13,1003,3,254,1.5
2023,1,1,2,0,7.9,1.35,0.06,0.61,0,0,0,0,5,7.9,0,0,0,0,0.28300000000000003,100,137.07,0.9400000000000001,0.13,1002,2.8000000000000003,257,1.8
2023,1,1,3,0,7.4,1.41,0.055,0.61,0,0,0,0,5,7.4,0,0,0,0,0.28800000000000003,100,148.25,0.93,0.13,1002,2.5,258,1.4000000000000001
2023,1,1,4,0,7.1000000000000005,1.47,0.049,0.61,0,0,0,0,3,7.1000000000000005,0,0,0,0,0.293,100,158.06,0.92,0.13,1002,2.2,270,1.7000000000000002
2023,1,1,5,0,6.800000000000001,1.49,0.042,0.61,0,0,0,0,3,6.800000000000001,0,0,0,0,0.291,100,163.44,0.91,0.13,1002,2,275,1.9000000000000001
2023,1,1,6,0,6.2,1.51,0.036000000000000004,0.61,0,0,0,0,1,6.2,0,0,0,0,0.28600000000000003,100,160.25,0.9,0.13,1003,1.6,282,1.8
2023,1,1,7,0,5.6000000000000005,1.5,0.037,0.61,0,0,0,0,1,5.6000000000000005,0,0,0,0,0.28500000000000003,100,151.24,0.9,0.13,1003,1.3,289,1.7000000000000002
2023,1,1,8,0,5.300000000000001,1.47,0.035,0.61,0,0,0,0,1,5.300000000000001,0,0,0,0,0.28300000000000003,100,140.3,0.91,0.13,1004,1.2000000000000002,293,1.9000000000000001
2023,1,1,9,0,5.4,1.41,0.035,0.61,0,0,0,0,1,5.4,0,0,0,0,0.281,100,128.8,0.92,0.13,1005,1.1,296,2.1
2023,1,1,10,0,5.1000000000000005,1.3800000000000001,0.036000000000000004,0.61,0,0,0,0,7,5.1000000000000005,0,0,0,0,0.28,100,117.26,0.92,0.13,1005,1,299,2
2023,1,1,11,0,4.9,1.3900000000000001,0.036000000000000004,0.61,0,0,0,0,0,4.9,0,0,0,0,0.279,100,105.98,0.92,0.13,1006,1.1,300,1.9000000000000001
2023,1,1,12,0,4.5,1.3900000000000001,0.037,0.61,0,0,0,0,7,4.5,0,0,0,0,0.278,99.78,95.2,0.92,0.13,1007,1.1,301,1.9000000000000001
2023,1,1,13,0,5.2,1.42,0.035,0.61,26,425,63,7,7,4.7,37,6,7,37,0.281,96.91,85.06,0.92,0.13,1008,1.1,304,2
2023,1,1,14,0,7,1.48,0.031,0.61,47,711,214,0,5,5.7,97,3,0,98,0.281,91.57000000000001,76.36,0.91,0.13,1009,1.1,306,2
2023,1,1,15,0,9.200000000000001,1.52,0.027,0.61,55,833,350,0,0,6.1000000000000005,55,833,0,350,0.278,81,69.28,0.91,0.13,1009,1.1,308,2.1
2023,1,1,16,0,11.100000000000001,1.52,0.026000000000000002,0.61,60,882,440,0,0,5.800000000000001,60,882,0,440,0.275,69.83,64.46000000000001,0.9,0.13,1009,1.2000000000000002,308,2.3000000000000003
2023,1,1,17,0,12.3,1.49,0.027,0.61,62,899,477,0,0,5.7,62,899,0,477,0.274,63.99,62.47,0.9,0.13,1008,1.2000000000000002,299,1.9000000000000001
2023,1,1,18,0,13.100000000000001,1.45,0.028,0.61,62,888,457,0,0,5.9,62,888,0,457,0.276,61.5,63.56,0.9,0.13,1007,1.2000000000000002,281,1.4000000000000001
2023,1,1,19,0,13,1.49,0.026000000000000002,0.61,56,850,380,0,7,6.9,178,225,0,263,0.277,66.32000000000001,67.6,0.89,0.13,1007,1.2000000000000002,259,1.1
2023,1,1,20,0,11.8,1.51,0.026000000000000002,0.61,48,761,256,0,0,8.700000000000001,48,761,0,256,0.278,81.25,74.08,0.88,0.13,1007,1.2000000000000002,243,0.7000000000000001
2023,1,1,21,0,10,1.52,0.028,0.61,32,547,105,0,1,5.800000000000001,32,547,0,105,0.279,75.08,82.38,0.88,0.13,1008,1.3,230,1.2000000000000002
2023,1,1,22,0,8.5,1.52,0.032,0.61,0,0,0,0,0,5.4,0,0,0,0,0.28300000000000003,81.04,92.16,0.89,0.13,1008,1.4000000000000001,218,1.4000000000000001
2023,1,1,23,0,6.9,1.53,0.035,0.61,0,0,0,0,0,5.5,0,0,0,0,0.28400000000000003,91.02,102.74000000000001,0.89,0.13,1009,1.5,215,1.4000000000000001
2023,1,2,0,0,5.4,1.53,0.038,0.61,0,0,0,0,7,5.4,0,0,0,0,0.28500000000000003,100,113.9,0.89,0.13,1009,1.6,210,1.4000000000000001
2023,1,2,1,0,4.800000000000001,1.5,0.043000000000000003,0.61,0,0,0,0,3,4.800000000000001,0,0,0,0,0.28400000000000003,100,125.39,0.9,0.13,1009,1.7000000000000002,212,1.4000000000000001
2023,1,2,2,0,4.800000000000001,1.45,0.047,0.61,0,0,0,0,1,4.800000000000001,0,0,0,0,0.28400000000000003,100,136.93,0.91,0.13,1009,1.7000000000000002,228,1.4000000000000001
2023,1,2,3,0,4.800000000000001,1.43,0.049,0.61,0,0,0,0,0,4.800000000000001,0,0,0,0,0.28400000000000003,100,148.11,0.91,0.13,1010,1.8,253,1.3
2023,1,2,4,0,5,1.3900000000000001,0.052000000000000005,0.61,0,0,0,0,7,5,0,0,0,0,0.28200000000000003,100,157.92000000000002,0.92,0.13,1010,1.8,275,1.3
2023,1,2,5,0,5,1.4000000000000001,0.052000000000000005,0.61,0,0,0,0,7,5,0,0,0,0,0.281,100,163.35,0.93,0.13,1010,1.8,292,1.2000000000000002
2023,1,2,6,0,4.5,1.45,0.048,0.61,0,0,0,0,6,4.5,0,0,0,0,0.28200000000000003,100,160.24,0.93,0.13,1011,1.8,307,1.2000000000000002
2023,1,2,7,0,3.8000000000000003,1.46,0.051000000000000004,0.61,0,0,0,0,6,3.8000000000000003,0,0,0,0,0.28200000000000003,100,151.27,0.93,0.13,1011,1.8,318,1.2000000000000002
2023,1,2,8,0,3.5,1.44,0.058,0.61,0,0,0,0,4,3.5,0,0,0,0,0.28,100,140.34,0.9400000000000001,0.13,1011,1.9000000000000001,325,1.2000000000000002
2023,1,2,9,0,3.8000000000000003,1.45,0.061,0.61,0,0,0,0,5,3.8000000000000003,0,0,0,0,0.279,100,128.85,0.9500000000000001,0.13,1012,1.9000000000000001,329,1.1
2023,1,2,10,0,3.5,1.47,0.064,0.61,0,0,0,0,7,3.5,0,0,0,0,0.277,100,117.31,0.9500000000000001,0.13,1012,1.9000000000000001,326,1.2000000000000002
2023,1,2,11,0,3.9000000000000004,1.46,0.067,0.61,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.275,100,106.02,0.9500000000000001,0.13,1013,2,327,1.1
2023,1,2,12,0,5.300000000000001,1.46,0.067,0.61,0,0,0,0,7,5.300000000000001,0,0,0,0,0.272,100,95.23,0.9500000000000001,0.13,1013,2,334,1.1
2023,1,2,13,0,6.800000000000001,1.47,0.07,0.61,29,327,57,7,3,6,31,0,7,31,0.27,94.81,85.07000000000001,0.9500000000000001,0.13,1013,2,330,0.9
2023,1,2,14,0,9,1.47,0.073,0.61,57,606,200,0,1,7.5,57,606,0,200,0.268,90.14,76.36,0.9500000000000001,0.13,1013,2.1,317,0.5
2023,1,2,15,0,10.600000000000001,1.37,0.051000000000000004,0.61,65,762,334,0,4,8.200000000000001,102,0,0,102,0.268,85.27,69.25,0.9400000000000001,0.13,1013,2.1,243,0.4
2023,1,2,16,0,12.4,1.3800000000000001,0.052000000000000005,0.61,71,814,423,0,5,9,221,30,0,235,0.267,79.96000000000001,64.41,0.9400000000000001,0.13,1013,2.2,210,0.7000000000000001
2023,1,2,17,0,14.3,1.3800000000000001,0.058,0.61,76,824,458,0,2,9.4,264,109,0,314,0.267,72.54,62.38,0.9400000000000001,0.13,1012,2.3000000000000003,213,1.1
2023,1,2,18,0,14.9,1.36,0.083,0.61,84,777,431,0,5,9.9,244,50,0,266,0.267,71.91,63.46,0.96,0.13,1012,2.5,201,1.3
2023,1,2,19,0,14.4,1.3,0.11900000000000001,0.61,89,683,351,0,4,10.700000000000001,128,1,0,129,0.268,78.5,67.48,0.96,0.13,1011,2.6,188,1.3
2023,1,2,20,0,12.8,1.25,0.152,0.61,82,532,229,0,4,10.8,8,0,0,8,0.268,87.89,73.95,0.97,0.13,1011,2.6,179,1
2023,1,2,21,0,10.3,1.24,0.163,0.61,50,292,90,7,4,9.200000000000001,21,0,7,21,0.269,93.16,82.24,0.96,0.13,1011,2.6,175,1.1
2023,1,2,22,0,8.9,1.24,0.151,0.61,0,0,0,0,7,8.6,0,0,0,0,0.27,98.21000000000001,92.03,0.96,0.13,1012,2.5,174,1.2000000000000002
2023,1,2,23,0,8.6,1.24,0.129,0.61,0,0,0,0,7,8.5,0,0,0,0,0.27,99.32000000000001,102.60000000000001,0.96,0.13,1012,2.5,174,1.4000000000000001
2023,1,3,0,0,8.4,1.24,0.116,0.61,0,0,0,0,7,8.4,0,0,0,0,0.269,99.84,113.76,0.96,0.12,1012,2.5,176,1.4000000000000001
2023,1,3,1,0,8,1.24,0.107,0.61,0,0,0,0,7,8,0,0,0,0,0.269,100,125.25,0.96,0.12,1012,2.5,178,1.4000000000000001
2023,1,3,2,0,7.300000000000001,1.26,0.098,0.61,0,0,0,0,7,7.300000000000001,0,0,0,0,0.269,100,136.79,0.96,0.12,1012,2.4000000000000004,179,1.3
2023,1,3,3,0,6.4,1.26,0.096,0.61,0,0,0,0,7,6.4,0,0,0,0,0.27,100,147.97,0.96,0.12,1011,2.4000000000000004,175,1.1
2023,1,3,4,0,5.9,1.27,0.097,0.61,0,0,0,0,7,5.9,0,0,0,0,0.27,100,157.79,0.96,0.12,1012,2.4000000000000004,177,1
2023,1,3,5,0,5.7,1.29,0.093,0.61,0,0,0,0,6,5.7,0,0,0,0,0.27,100,163.25,0.96,0.12,1011,2.3000000000000003,177,1
2023,1,3,6,0,5.800000000000001,1.29,0.096,0.61,0,0,0,0,7,5.800000000000001,0,0,0,0,0.27,100,160.21,0.96,0.12,1011,2.3000000000000003,175,1
2023,1,3,7,0,6,1.27,0.099,0.61,0,0,0,0,8,6,0,0,0,0,0.269,100,151.29,0.9500000000000001,0.12,1011,2.4000000000000004,176,1
2023,1,3,8,0,6.2,1.26,0.092,0.61,0,0,0,0,4,6.2,0,0,0,0,0.268,100,140.37,0.9500000000000001,0.12,1010,2.5,179,1
2023,1,3,9,0,6.2,1.28,0.081,0.61,0,0,0,0,4,6.2,0,0,0,0,0.267,100,128.88,0.9500000000000001,0.12,1010,2.6,179,1.1
2023,1,3,10,0,6.1000000000000005,1.31,0.078,0.61,0,0,0,0,5,6.1000000000000005,0,0,0,0,0.266,100,117.34,0.9400000000000001,0.12,1009,2.7,177,1.1
2023,1,3,11,0,6.1000000000000005,1.33,0.089,0.61,0,0,0,0,8,6.1000000000000005,0,0,0,0,0.263,100,106.04,0.9500000000000001,0.12,1009,2.9000000000000004,171,1.1
2023,1,3,12,0,6.2,1.32,0.11,0.61,0,0,0,0,8,6.2,0,0,0,0,0.26,100,95.25,0.96,0.12,1009,3.1,168,1.2000000000000002
2023,1,3,13,0,7.7,1.3,0.128,0.61,32,215,51,7,6,7.7,3,0,7,3,0.258,100,85.07000000000001,0.96,0.12,1008,3.4000000000000004,172,1.6
2023,1,3,14,0,9.3,1.34,0.114,0.61,65,517,187,0,7,8.9,17,0,0,17,0.258,97.26,76.34,0.96,0.12,1008,3.4000000000000004,174,2.2
2023,1,3,15,0,10.9,1.3,0.089,0.61,76,679,317,0,4,10.3,37,0,0,37,0.258,95.91,69.21000000000001,0.9500000000000001,0.12,1007,3.5,187,2.6
2023,1,3,16,0,11.9,1.23,0.07100000000000001,0.61,78,760,407,0,7,11.3,48,0,0,48,0.258,95.8,64.34,0.9500000000000001,0.12,1006,3.6,204,2.7
2023,1,3,17,0,12.8,1.25,0.064,0.61,78,791,446,0,7,12.200000000000001,138,9,0,143,0.259,95.83,62.29,0.9500000000000001,0.12,1005,3.5,211,3.1
2023,1,3,18,0,13.700000000000001,1.28,0.068,0.61,78,777,426,0,7,12.9,201,230,0,304,0.26,94.73,63.34,0.9500000000000001,0.12,1004,3.5,206,3.2
2023,1,3,19,0,14.200000000000001,1.27,0.065,0.61,71,736,355,0,7,13.3,64,1,0,64,0.26,94.05,67.35,0.9500000000000001,0.12,1003,3.5,202,3
2023,1,3,20,0,13.8,1.3,0.057,0.61,58,654,240,0,7,13.200000000000001,136,102,0,164,0.261,96.04,73.81,0.9400000000000001,0.12,1003,3.3000000000000003,199,2.8000000000000003
2023,1,3,21,0,13.200000000000001,1.32,0.052000000000000005,0.61,37,456,100,7,7,12.9,20,0,7,20,0.261,98.14,82.10000000000001,0.9400000000000001,0.12,1003,3.1,198,2.7
2023,1,3,22,0,12.700000000000001,1.32,0.049,0.61,0,0,0,0,6,12.600000000000001,0,0,0,0,0.262,99.43,91.88,0.9400000000000001,0.12,1003,2.7,199,2.7
2023,1,3,23,0,12.700000000000001,1.32,0.048,0.61,0,0,0,0,8,12.5,0,0,0,0,0.263,98.39,102.46000000000001,0.9400000000000001,0.12,1003,2.5,200,3
2023,1,4,0,0,12.700000000000001,1.3,0.053,0.61,0,0,0,0,8,12.3,0,0,0,0,0.262,97.42,113.62,0.9400000000000001,0.12,1002,2.7,201,3.1
2023,1,4,1,0,12.700000000000001,1.3,0.056,0.61,0,0,0,0,7,12.3,0,0,0,0,0.262,97.25,125.11,0.9500000000000001,0.12,1002,3,203,3.1
2023,1,4,2,0,12.700000000000001,1.32,0.054,0.61,0,0,0,0,7,12.200000000000001,0,0,0,0,0.263,97.08,136.65,0.9400000000000001,0.12,1002,3.2,208,2.9000000000000004
2023,1,4,3,0,12.5,1.35,0.05,0.61,0,0,0,0,6,12.100000000000001,0,0,0,0,0.264,97.29,147.83,0.9400000000000001,0.12,1002,3,215,2.8000000000000003
2023,1,4,4,0,12.3,1.35,0.046,0.61,0,0,0,0,7,11.9,0,0,0,0,0.266,97.49000000000001,157.64000000000001,0.93,0.12,1002,2.8000000000000003,218,2.6
2023,1,4,5,0,12.100000000000001,1.36,0.041,0.61,0,0,0,0,7,11.8,0,0,0,0,0.267,98.07000000000001,163.14000000000001,0.93,0.12,1002,2.5,221,2.4000000000000004
2023,1,4,6,0,11.8,1.37,0.038,0.61,0,0,0,0,7,11.700000000000001,0,0,0,0,0.268,99.33,160.17000000000002,0.92,0.12,1002,2.3000000000000003,224,2.2
2023,1,4,7,0,11.3,1.3800000000000001,0.035,0.61,0,0,0,0,6,11.3,0,0,0,0,0.268,100,151.3,0.92,0.12,1003,2.1,230,1.9000000000000001
2023,1,4,8,0,10.700000000000001,1.3900000000000001,0.032,0.61,0,0,0,0,6,10.700000000000001,0,0,0,0,0.268,100,140.4,0.91,0.12,1003,1.9000000000000001,235,1.6
2023,1,4,9,0,9.9,1.4000000000000001,0.031,0.61,0,0,0,0,6,9.9,0,0,0,0,0.267,100,128.92000000000002,0.91,0.12,1003,1.8,234,1.4000000000000001
2023,1,4,10,0,9.9,1.4000000000000001,0.032,0.61,0,0,0,0,3,9.9,0,0,0,0,0.265,100,117.37,0.91,0.12,1004,1.9000000000000001,238,1.4000000000000001
2023,1,4,11,0,9.4,1.4000000000000001,0.032,0.61,0,0,0,0,7,9.4,0,0,0,0,0.265,100,106.07000000000001,0.91,0.12,1004,2,229,1.1
2023,1,4,12,0,9.4,1.41,0.033,0.61,0,0,0,0,8,9.4,0,0,0,0,0.264,100,95.26,0.91,0.12,1004,2,214,1.1
2023,1,4,13,0,10.600000000000001,1.4000000000000001,0.039,0.61,26,384,59,7,7,10.600000000000001,27,1,7,27,0.264,100,85.07000000000001,0.91,0.12,1004,2.2,202,1.1
2023,1,4,14,0,11.4,1.36,0.05,0.61,51,631,200,0,7,11.4,93,12,0,96,0.265,100,76.32000000000001,0.93,0.12,1005,2.6,193,1.2000000000000002
2023,1,4,15,0,12.100000000000001,1.35,0.054,0.61,64,738,327,0,7,12.100000000000001,159,35,0,171,0.264,99.73,69.17,0.93,0.12,1005,3,188,0.8
2023,1,4,16,0,12.600000000000001,1.32,0.061,0.61,74,780,412,0,7,12.4,216,117,0,267,0.264,98.48,64.27,0.9400000000000001,0.12,1004,3.3000000000000003,158,1
2023,1,4,17,0,12.9,1.22,0.078,0.61,83,772,443,0,7,12.600000000000001,199,43,0,219,0.264,97.77,62.190000000000005,0.9500000000000001,0.12,1002,3.7,163,1.7000000000000002
2023,1,4,18,0,13.4,1.17,0.081,0.61,83,761,426,0,7,12.9,135,8,0,139,0.266,97.10000000000001,63.22,0.9500000000000001,0.12,1001,3.5,159,1.9000000000000001
2023,1,4,19,0,13.700000000000001,1.11,0.079,0.61,77,717,354,0,7,13.3,36,0,0,36,0.265,97.23,67.21000000000001,0.96,0.12,1000,3.5,160,2
2023,1,4,20,0,13.3,1.1,0.069,0.61,62,631,239,0,6,13.100000000000001,23,0,0,23,0.264,98.96000000000001,73.67,0.96,0.12,1000,3.5,160,1.7000000000000002
2023,1,4,21,0,12.5,1.12,0.06,0.61,39,434,100,7,7,12.5,11,0,7,11,0.263,100,81.96000000000001,0.9500000000000001,0.12,1000,3.5,169,1.6
2023,1,4,22,0,12.200000000000001,1.1500000000000001,0.048,0.61,0,0,0,0,7,12.200000000000001,0,0,0,0,0.262,100,91.73,0.9400000000000001,0.12,1000,3.3000000000000003,174,1.7000000000000002
2023,1,4,23,0,12.100000000000001,1.18,0.04,0.61,0,0,0,0,6,12.100000000000001,0,0,0,0,0.263,100,102.31,0.93,0.12,1000,3,182,1.7000000000000002
2023,1,5,0,0,12,1.21,0.038,0.61,0,0,0,0,2,12,0,0,0,0,0.264,100,113.47,0.92,0.13,1001,3.1,195,1.9000000000000001
2023,1,5,1,0,12,1.23,0.042,0.61,0,0,0,0,3,12,0,0,0,0,0.265,100,124.96000000000001,0.92,0.13,1001,3.2,209,2
2023,1,5,2,0,12.3,1.26,0.045,0.61,0,0,0,0,3,12.3,0,0,0,0,0.266,100,136.5,0.92,0.13,1001,2.8000000000000003,226,2.2
2023,1,5,3,0,12.100000000000001,1.33,0.041,0.61,0,0,0,0,2,12.100000000000001,0,0,0,0,0.267,100,147.68,0.91,0.13,1001,2.3000000000000003,241,1.9000000000000001
2023,1,5,4,0,11.100000000000001,1.37,0.034,0.61,0,0,0,0,2,11.100000000000001,0,0,0,0,0.266,100,157.5,0.9,0.13,1002,1.9000000000000001,250,1.7000000000000002
2023,1,5,5,0,10.3,1.4000000000000001,0.031,0.61,0,0,0,0,3,10.3,0,0,0,0,0.265,100,163.02,0.9,0.13,1003,1.7000000000000002,260,1.6
